robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
0,75,0,0,7,0,0.0,7.0
1,76,0,2,9,0,4.514342308044434,11.514342308044434
2,77,0,2,9,0,4.558585166931152,11.558585166931152
3,78,0,3,10,0,4.7753496170043945,11.775349617004395
4,79,0,4,11,0,5.128103256225586,12.128103256225586
5,80,0,5,12,0,5.6062164306640625,12.606216430664062
6,81,0,5,12,0,6.260439872741699,13.2604398727417
7,82,0,7,14,0,7.154076099395752,14.154076099395752
8,83,0,8,15,0,7.9722900390625,14.9722900390625
9,84,0,0,7,0,7.123617172241211,14.123617172241211
10,85,0,1,8,0,4.749353408813477,11.749353408813477
11,86,0,1,8,0,3.423194169998169,10.423194169998169
12,87,0,1,8,0,3.118013858795166,10.118013858795166
13,88,0,1,8,0,3.73714542388916,10.73714542388916
14,89,0,1,8,0,5.151686191558838,12.151686191558838
15,90,0,0,7,0,6.988229274749756,13.988229274749756
16,91,0,0,7,0,8.48838996887207,15.48838996887207
17,92,0,12,19,0,9.483681678771973,16.483681678771973
18,93,0,11,18,0,10.178439140319824,17.178439140319824
19,94,0,10,17,0,10.652320861816406,17.652320861816406
20,95,0,10,17,0,11.155156135559082,18.155156135559082
21,96,0,10,17,0,11.778560638427734,18.778560638427734
22,97,0,18,25,0,12.551756858825684,19.551756858825684
23,98,0,18,25,0,13.308745384216309,20.30874538421631
24,99,0,18,25,0,14.01315689086914,21.01315689086914
25,100,0,18,25,0,14.684562683105469,21.68456268310547
26,101,0,18,25,0,15.341300964355469,22.34130096435547
27,102,0,18,25,0,15.996681213378906,22.996681213378906
28,103,2,18,25,0,16.7021427154541,23.7021427154541
29,104,0,18,25,0,17.478076934814453,24.478076934814453
30,105,0,26,33,0,18.333816528320312,25.333816528320312
31,106,0,26,33,0,19.253929138183594,26.253929138183594
32,107,0,27,34,0,20.11570930480957,27.11570930480957
33,108,0,27,34,0,20.81090545654297,27.81090545654297
34,109,0,29,36,0,21.33013153076172,28.33013153076172
35,110,0,29,36,0,21.829069137573242,28.829069137573242
36,111,0,29,36,0,22.0205020904541,29.0205020904541
37,112,0,30,37,0,21.77276039123535,28.77276039123535
38,113,0,30,37,0,21.226816177368164,28.226816177368164
39,114,0,31,38,0,21.12716293334961,28.12716293334961
40,115,0,32,39,0,21.295747756958008,28.295747756958008
41,116,0,32,39,0,21.446571350097656,28.446571350097656
42,117,0,32,39,0,21.560701370239258,28.560701370239258
43,118,0,32,39,0,21.651031494140625,28.651031494140625
44,119,0,32,39,0,21.726726531982422,28.726726531982422
45,120,0,32,39,0,21.79438018798828,28.79438018798828
46,121,0,32,39,0,21.873571395874023,28.873571395874023
47,122,0,32,39,0,21.983945846557617,28.983945846557617
48,123,0,32,39,0,22.001419067382812,29.001419067382812
49,124,0,32,39,0,21.83990478515625,28.83990478515625
50,125,0,32,39,0,21.540206909179688,28.540206909179688
51,126,0,32,39,0,21.145343780517578,28.145343780517578
52,127,0,32,39,0,20.68231773376465,27.68231773376465
53,128,0,16,23,0,20.105350494384766,27.105350494384766
54,129,0,16,23,0,19.548656463623047,26.548656463623047
55,130,0,16,23,0,19.116130828857422,26.116130828857422
56,131,0,16,23,0,18.850772857666016,25.850772857666016
57,132,0,16,23,0,18.672300338745117,25.672300338745117
58,133,0,16,23,0,18.584503173828125,25.584503173828125
59,134,0,16,23,0,18.584882736206055,25.584882736206055
60,135,0,16,23,0,18.666521072387695,25.666521072387695
61,136,0,16,23,0,18.79816436767578,25.79816436767578
62,137,0,17,24,0,18.950580596923828,25.950580596923828
63,138,0,17,24,0,19.1361026763916,26.1361026763916
64,139,0,21,28,0,19.307695388793945,26.307695388793945
65,140,0,22,29,0,19.468935012817383,26.468935012817383
66,141,0,22,29,0,19.646381378173828,26.646381378173828
67,142,0,23,30,0,19.82892608642578,26.82892608642578
68,143,0,23,30,0,20.0573673248291,27.0573673248291
69,144,0,24,31,0,20.390714645385742,27.390714645385742
70,145,0,24,31,0,20.79501724243164,27.79501724243164
71,146,0,25,32,1,21.29652214050293,28.29652214050293
72,147,0,25,32,1,21.934511184692383,28.934511184692383
73,148,0,32,39,0,22.737945556640625,29.737945556640625
74,149,0,32,39,0,23.729000091552734,30.729000091552734
75,150,0,32,39,0,24.954059600830078,31.954059600830078
76,151,0,32,39,0,26.454204559326172,33.45420455932617
77,152,0,33,40,0,28.238075256347656,35.238075256347656
78,153,0,33,40,0,30.426916122436523,37.42691612243652
79,154,0,33,40,0,33.13212203979492,40.13212203979492
80,155,0,33,40,0,35.6515998840332,42.6515998840332
81,156,0,33,40,0,38.059139251708984,45.059139251708984
82,157,0,33,40,0,40.275882720947266,47.275882720947266
